amp-wp-title,amp-wp-title href,large-screen-excerpt
Pune to Dadar,https://bustimings.in/msrtc/pune-dadar/amp/,
Shirdi to Nasik,https://bustimings.in/msrtc/shirdi-nasik/amp/,Dep. Time Route Name Bus service type 07:00 SHIRDI to PAREL SEMI LUXURY 08:00 SHIRDI to BOISAR ORDINARY EXPRESS 09:30…
Mumbai to Pune,https://bustimings.in/msrtc/mumbai-pune/amp/,From Stop To Stop Bus Service Timings MCT via NEW SHIVAJI NAGAR PUNE BHN Ordinary Express 00:01:00 PRL via PANDHARPUR…
Thane to Solapur,https://bustimings.in/msrtc/thane-solapur/amp/,Dep. Time Route Name Bus service type 06:00 THANE CBS to SOLAPUR ORDINARY EXPRESS 06:30 BHIVANDI to SOLAPUR via THANE…
Sangli to Satara,https://bustimings.in/msrtc/sangli-satara/amp/,Dep. Time Route Name Bus service type 05:55 MIRAJ to SATARA ORDINARY EXPRESS 06:45 MIRAJ to SHRIVARDHAN via BORLI ORDINARY…
Yavatmal to Nasik,https://bustimings.in/msrtc/yavatmal-nasik/amp/,"Sorry, no buses found in this route"
Thane to Nandurbar,https://bustimings.in/msrtc/thane-nandurbar/amp/,Dep. Time Route Name Bus service type 07:30 MUMBAI CENTRAL to NANDURBAR ORDINARY EXPRESS 19:00 MUMBAI CENTRAL to AKKALKUWA via…
Yavatmal to Pune,https://bustimings.in/msrtc/yavatmal-pune/amp/,Dep. Time Route Name Bus service type 17:00 YAVATMAL to CHINCHWAD via WASHIM SEMI LUXURY
Hingoli to Jalna,https://bustimings.in/msrtc/hingoli-jalna/amp/,Dep. Time Route Name Bus service type 06:00 KINWAT to CIDCO AURANGABAD ORDINARY EXPRESS 06:00 HINGOLI to SHIVAJI NAGAR PUNE…
Osmanabad to Nanded,https://bustimings.in/msrtc/osmanabad-nanded/amp/,Dep. Time Route Name Bus service type 06:30 PANDHARPUR to BHOKAR via OSMANABAD ORDINARY EXPRESS 06:30 SOLAPUR to BHOKAR ORDINARY…
Parbhani to Nagpur,https://bustimings.in/msrtc/parbhani-nagpur/amp/,Dep. Time Route Name Bus service type 07:20 AMBAJOGAI to NAGPUR ORDINARY EXPRESS 08:00 PARBHANI to NAGPUR SEMI LUXURY 19:30…
Solapur to Yavatmal,https://bustimings.in/msrtc/solapur-yavatmal/amp/,Dep. Time Route Name Bus service type 06:30 PANDHARPUR to YAVATMAL ORDINARY EXPRESS 07:30 PANDHARPUR to NAGPUR SEMI LUXURY 15:00…
Thane to Hingoli,https://bustimings.in/msrtc/thane-hingoli/amp/,"Sorry, no buses found in this route"
Thane to Nasik,https://bustimings.in/msrtc/thane-nasik-2/amp/,Dep. Time Route Name Bus service type 05:15 PAREL to SHIRDI SEMI LUXURY 06:00 MUMBAI CENTRAL to TRIMBAKESHWAR SEMI LUXURY…
Nanded to Sangli,https://bustimings.in/msrtc/nanded-sangli/amp/,Dep. Time Route Name Bus service type 05:30 NANDED to KOLHAPUR via BARSHI ORDINARY EXPRESS
Nanded to Jalna,https://bustimings.in/msrtc/nanded-jalna/amp/,Dep. Time Route Name Bus service type 06:15 KANDHAR to CIDCO AURANGABAD via NANDED ORDINARY EXPRESS 08:00 DEGLOOR to CIDCO…
Nasik to Washim,https://bustimings.in/msrtc/nasik-washim/amp/,Dep. Time Route Name Bus service type 05:00 NASIK CBS to WASHIM via MEHKAR ORDINARY EXPRESS
Nasik to Kolhapur,https://bustimings.in/msrtc/nasik-kolhapur/amp/,"Dep. Time Route Name Bus service type 20:45 NASIK CBS to KOLHAPUR via SWARGATE, PUNE SEMI LUXURY"
